algorithm_config_hash,assigned_count,completed,completed_by_agent,completed_seconds,completed_step,completion_quality,condition,deadline_seconds,deadline_step,demand_kg,failed,failed_reason,failed_step,family,final_status,first_assigned_step,first_service_step,formal_lb_id,fulfilled_mass_kg,last_assigned_step,lifeline_final,lifeline_init,method,nearest_truck_distance_start,nearest_uav_or_truck_distance_start,on_time,public_environment_hash,remaining_demand_kg,remaining_lifeline_at_service,scenario,seed,service_start_count,task_class,task_id,task_kind,truck_reachable,uav_eventual_serviceable,urgency_score
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,229,0,None,-1.0,-1,0.0,conditional_truck_tc,14760.0,738,50.0,1,lifeline_zero,288,E6,failed,0,-1,LB-v1-20260822,0.0,287,0.0,100.0,C-ALNS-MP,10171.88886835233,10171.88886835233,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_3,emergency,0,1,0.7687067091449796
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,98,1,uav_3,1960.0,98,1.0,conditional_truck_tc,14400.0,720,50.0,0,,-1,E6,delivered,0,98,LB-v1-20260822,50.0,97,63.9046699564767,100.0,C-ALNS-MP,8972.910969096309,8972.910969096309,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,63.9046699564767,LB,101,1,time_critical_lightweight,task_time_critical_lightweight_4,emergency,0,1,0.7273830460494194
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,215,0,None,-1.0,-1,0.0,conditional_truck_tc,15960.0,798,50.0,1,lifeline_zero,236,E6,failed,0,-1,LB-v1-20260822,0.0,214,0.0,100.0,C-ALNS-MP,14148.754445771634,14148.754445771634,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_5,emergency,0,1,0.909737917292143
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,253,0,None,-1.0,-1,0.0,conditional_truck_tc,15600.0,780,50.0,1,lifeline_zero,253,E6,failed,0,-1,LB-v1-20260822,0.0,252,0.0,100.0,C-ALNS-MP,2913.7706040409153,2913.7706040409153,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_6,emergency,0,1,0.8705161474912566
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,192,0,None,-1.0,-1,0.0,conditional_truck_tc,16200.0,810,50.0,1,lifeline_zero,239,E6,failed,0,-1,LB-v1-20260822,0.0,191,0.0,100.0,C-ALNS-MP,8419.216536800033,8419.216536800033,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_7,emergency,0,1,0.989879628037199
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,84,0,None,-1.0,-1,0.0,conditional_truck_tc,16800.0,840,50.0,1,lifeline_zero,257,E6,failed,72,-1,LB-v1-20260822,0.0,155,0.0,100.0,C-ALNS-MP,9649.370387536506,9649.370387536506,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_8,emergency,0,1,0.9323581933558626
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,136,0,None,-1.0,-1,0.0,conditional_truck_tc,17400.0,870,50.0,1,lifeline_zero,244,E6,failed,108,-1,LB-v1-20260822,0.0,243,0.0,100.0,C-ALNS-MP,2591.7846470285945,2591.7846470285945,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_9,emergency,0,1,0.8933819856045042
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,1,uav_1,1240.0,62,1.0,conditional_truck_tc,18000.0,900,50.0,0,,-1,E6,delivered,-1,62,LB-v1-20260822,50.0,-1,78.84215360206271,100.0,C-ALNS-MP,5472.170625762758,5472.170625762758,1,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,0.0,78.84215360206271,LB,101,1,time_critical_lightweight,task_time_critical_lightweight_10,emergency,0,1,0.7142148384795817
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,24,0,None,-1.0,-1,0.0,conditional_truck_tc,18600.0,930,50.0,1,lifeline_zero,262,E6,failed,203,-1,LB-v1-20260822,0.0,226,0.0,100.0,C-ALNS-MP,1506.2906048252266,1506.2906048252266,0,be9dbbdf14e8c082ba2c568ecd582fb7532c3cb20a73c46a062021419516c67d,50.0,0.0,LB,101,0,time_critical_lightweight,task_time_critical_lightweight_11,emergency,0,1,0.7467335094406772
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,67,1,truck_3,1340.0,67,1.0,conditional_truck_tc,19200.0,960,800.0,0,,-1,E6,delivered,0,67,LB-v1-20260822,800.0,66,92.50381684741134,100.0,C-ALNS-MP,4712.939965300228,4712.939965300228,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,92.50381684741134,LB,100,1,routine_bulk,task_routine_bulk_0,normal,1,0,0.5914487685478238
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,43,1,truck_0,860.0,43,1.0,conditional_truck_tc,20400.0,1020,800.0,0,,-1,E6,delivered,0,43,LB-v1-20260822,800.0,42,96.13998850373648,100.0,C-ALNS-MP,2651.3638511663926,2651.3638511663926,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,96.13998850373648,LB,100,1,routine_bulk,task_routine_bulk_1,normal,1,0,0.328770105116882
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,71,0,None,-1.0,-1,0.0,conditional_truck_tc,21600.0,1080,800.0,1,lifeline_zero,935,E6,failed,59,-1,LB-v1-20260822,0.0,129,0.0,100.0,C-ALNS-MP,9455.797786582447,9455.797786582447,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,800.0,0.0,LB,100,0,routine_bulk,task_routine_bulk_2,normal,1,0,0.5197299581475797
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,71,1,truck_1,2440.0,122,1.0,conditional_truck_tc,22800.0,1140,800.0,0,,-1,E6,delivered,47,122,LB-v1-20260822,800.0,117,86.94766068761503,100.0,C-ALNS-MP,7467.100925813267,7467.100925813267,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,86.94766068761503,LB,100,1,routine_bulk,task_routine_bulk_3,normal,1,0,0.363407140663305
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,53,1,truck_1,1060.0,53,1.0,conditional_truck_tc,24000.0,1200,800.0,0,,-1,E6,delivered,0,53,LB-v1-20260822,800.0,52,95.32927811874183,100.0,C-ALNS-MP,4256.447388010565,4256.447388010565,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,95.32927811874183,LB,100,1,routine_bulk,task_routine_bulk_4,normal,1,0,0.2526593582373026
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,6,1,truck_3,1540.0,77,1.0,conditional_truck_tc,25200.0,1260,800.0,0,,-1,E6,delivered,71,77,LB-v1-20260822,800.0,76,93.94857451029266,100.0,C-ALNS-MP,4838.850094689374,4838.850094689374,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,93.94857451029266,LB,100,1,routine_bulk,task_routine_bulk_5,normal,1,0,0.23296054817545986
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,47,0,None,-1.0,-1,0.0,conditional_truck_tc,26400.0,1320,800.0,1,lifeline_zero,1009,E6,failed,83,-1,LB-v1-20260822,0.0,129,0.0,100.0,C-ALNS-MP,11793.267377757751,11793.267377757751,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,800.0,0.0,LB,100,0,routine_bulk,task_routine_bulk_6,normal,1,0,0.46244681084905065
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,106,1,truck_0,2200.0,110,1.0,conditional_truck_tc,27600.0,1380,800.0,0,,-1,E6,delivered,0,110,LB-v1-20260822,800.0,105,87.79577100352604,100.0,C-ALNS-MP,4587.683945260957,4587.683945260957,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,87.79577100352604,LB,100,1,routine_bulk,task_routine_bulk_7,normal,1,0,0.5338128687931456
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,84,1,truck_3,4280.0,214,1.0,conditional_truck_tc,12000.0,600,50.0,0,,-1,E6,delivered,130,214,LB-v1-20260822,50.0,213,21.775581728216032,100.0,C-ALNS-MP,4043.5148887186647,4043.5148887186647,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,21.775581728216032,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_0,emergency,0,1,0.8572362469902544
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,1,truck_2,940.0,47,1.0,conditional_truck_tc,12600.0,630,50.0,0,,-1,E6,delivered,-1,47,LB-v1-20260822,50.0,-1,81.72778089177515,100.0,C-ALNS-MP,3938.2462884286088,3938.2462884286088,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,81.72778089177515,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_1,emergency,0,1,0.7681740887900437
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,120,1,uav_3,3740.0,187,1.0,conditional_truck_tc,13200.0,660,50.0,0,,-1,E6,delivered,0,187,LB-v1-20260822,50.0,186,34.38703177018223,100.0,C-ALNS-MP,1841.754606923464,1841.754606923464,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,34.38703177018223,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_2,emergency,0,1,0.8022891552475101
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,119,0,None,-1.0,-1,0.0,conditional_truck_tc,14760.0,738,50.0,1,lifeline_zero,234,E6,failed,0,-1,LB-v1-20260822,0.0,141,0.0,100.0,C-ALNS-MP,5652.839795309424,5652.839795309424,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,50.0,0.0,LB,100,0,time_critical_lightweight,task_time_critical_lightweight_3,emergency,0,1,0.960215083465178
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,263,0,None,-1.0,-1,0.0,conditional_truck_tc,14400.0,720,50.0,1,lifeline_zero,287,E6,failed,0,-1,LB-v1-20260822,0.0,286,0.0,100.0,C-ALNS-MP,5313.398671961474,5313.398671961474,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,50.0,0.0,LB,100,0,time_critical_lightweight,task_time_critical_lightweight_4,emergency,0,1,0.8154167223421255
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,130,0,None,-1.0,-1,0.0,conditional_truck_tc,15960.0,798,50.0,1,lifeline_zero,237,E6,failed,0,-1,LB-v1-20260822,0.0,129,0.0,100.0,C-ALNS-MP,12029.47975909369,12029.47975909369,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,50.0,0.0,LB,100,0,time_critical_lightweight,task_time_critical_lightweight_5,emergency,0,1,0.9867416871112791
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,220,1,uav_3,4400.0,220,1.0,conditional_truck_tc,15600.0,780,50.0,0,,-1,E6,delivered,0,220,LB-v1-20260822,50.0,219,19.172088843110753,100.0,C-ALNS-MP,2945.1941967981666,2945.1941967981666,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,19.172088843110753,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_6,emergency,0,1,0.8746488677361269
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,130,0,None,-1.0,-1,0.0,conditional_truck_tc,17160.0,858,50.0,1,lifeline_zero,265,E6,failed,0,-1,LB-v1-20260822,0.0,129,0.0,100.0,C-ALNS-MP,8166.972222335975,8166.972222335975,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,50.0,0.0,LB,100,0,time_critical_lightweight,task_time_critical_lightweight_7,emergency,0,1,0.7446621799769354
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,1,truck_0,1020.0,51,1.0,conditional_truck_tc,16800.0,840,50.0,0,,-1,E6,delivered,-1,51,LB-v1-20260822,50.0,-1,80.2777800288848,100.0,C-ALNS-MP,2311.2789292757247,2311.2789292757247,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,80.2777800288848,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_8,emergency,0,1,0.8689502560984448
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,230,0,None,-1.0,-1,0.0,conditional_truck_tc,17400.0,870,50.0,1,lifeline_zero,301,E6,failed,47,-1,LB-v1-20260822,0.0,300,0.0,100.0,C-ALNS-MP,6760.559725492877,6760.559725492877,0,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,50.0,0.0,LB,100,0,time_critical_lightweight,task_time_critical_lightweight_9,emergency,0,1,0.7554846985257647
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,70,1,truck_3,4000.0,200,1.0,conditional_truck_tc,18000.0,900,50.0,0,,-1,E6,delivered,130,200,LB-v1-20260822,50.0,199,32.99112064774038,100.0,C-ALNS-MP,3952.8289116955493,3952.8289116955493,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,32.99112064774038,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_10,emergency,0,1,0.7210061967003056
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,0,1,uav_2,1560.0,78,1.0,conditional_truck_tc,18600.0,930,50.0,0,,-1,E6,delivered,-1,78,LB-v1-20260822,50.0,-1,67.89911617655498,100.0,C-ALNS-MP,6188.028410283936,6188.028410283936,1,493883870712d200d20d0aad873515d9a01e7228309c7343e3f64e459f6a0b8f,0.0,67.89911617655498,LB,100,1,time_critical_lightweight,task_time_critical_lightweight_11,emergency,0,1,0.732056640977218
f42d94b7a35f9f5e14c04ed4146758b88c85995349f206e13dfbc0af426c6024,120,0,None,-1.0,-1,0.0,conditional_truck_tc,19200.0,960,800.0,1,deadline_exceeded,961,E6,failed,0,-1,LB-v1-20260822,0.0,214,11.11850352989833,100.0,C-ALNS-MP,6119.550842362341,6119.550842362341,0,56b1028b63aff45a0f590d85c0431f0aeafbaa7d5ed10ada2c4eb45fcb335027,800.0,0.0,LB,102,0,routine_bulk,task_routine_bulk_0,normal,1,0,0.4291837918236352
