scenario,seed,task_id,task_class,urgency_score,deadline_seconds,completed,completed_seconds,failed,failed_reason,final_status,completed_by_agent
M,102,task_routine_bulk_5,routine_bulk,0.2216420793743435,10400.0,1,340.0,0,,delivered,truck_1
M,102,task_time_critical_lightweight_0,time_critical_lightweight,0.8718878438677264,4800.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_1,time_critical_lightweight,0.7341033402458849,5000.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_2,time_critical_lightweight,0.8482032178872525,5680.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_3,time_critical_lightweight,0.9931253628553808,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_4,time_critical_lightweight,0.7886954391183361,6080.0,0,-1.0,1,deadline_exceeded,failed,
M,102,task_time_critical_lightweight_5,time_critical_lightweight,0.7875703675159171,5800.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_routine_bulk_0,routine_bulk,0.4158610043098186,8400.0,1,1200.0,0,,delivered,truck_1
MB,102,task_routine_bulk_1,routine_bulk,0.5977462366875133,8800.0,1,980.0,0,,delivered,truck_0
MB,102,task_routine_bulk_2,routine_bulk,0.2649238288532186,9200.0,1,500.0,0,,delivered,truck_0
MB,102,task_routine_bulk_3,routine_bulk,0.4902572300255953,9600.0,1,580.0,0,,delivered,truck_1
MB,102,task_routine_bulk_4,routine_bulk,0.2585641680908525,10000.0,1,1240.0,0,,delivered,truck_0
MB,102,task_routine_bulk_5,routine_bulk,0.2216420793743435,10400.0,1,340.0,0,,delivered,truck_1
MB,102,task_time_critical_lightweight_0,time_critical_lightweight,0.8718878438677264,4800.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_time_critical_lightweight_1,time_critical_lightweight,0.7341033402458849,5000.0,0,-1.0,1,deadline_exceeded,failed,
MB,102,task_time_critical_lightweight_2,time_critical_lightweight,0.8482032178872525,5680.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_3,time_critical_lightweight,0.9931253628553808,5400.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_4,time_critical_lightweight,0.7886954391183361,6080.0,0,-1.0,1,lifeline_zero,failed,
MB,102,task_time_critical_lightweight_5,time_critical_lightweight,0.7875703675159171,5800.0,0,-1.0,1,lifeline_zero,failed,
M,103,task_routine_bulk_0,routine_bulk,0.5839491354317281,8400.0,1,2680.0,0,,delivered,truck_0
M,103,task_routine_bulk_1,routine_bulk,0.2447230478100463,8800.0,1,2100.0,0,,delivered,truck_0
M,103,task_routine_bulk_2,routine_bulk,0.2223484090846097,9200.0,1,1160.0,0,,delivered,truck_1
M,103,task_routine_bulk_3,routine_bulk,0.4595358456488901,9600.0,1,1540.0,0,,delivered,truck_1
M,103,task_routine_bulk_4,routine_bulk,0.2147018169976778,10000.0,1,660.0,0,,delivered,truck_0
M,103,task_routine_bulk_5,routine_bulk,0.348426191734089,10400.0,1,460.0,0,,delivered,truck_1
M,103,task_time_critical_lightweight_0,time_critical_lightweight,0.8219733410759611,5280.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_1,time_critical_lightweight,0.7214557187625316,5000.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7025638712733031,5680.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_3,time_critical_lightweight,0.7989693713907424,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_4,time_critical_lightweight,0.8378016103185534,5600.0,0,-1.0,1,deadline_exceeded,failed,
M,103,task_time_critical_lightweight_5,time_critical_lightweight,0.7725066840430133,5800.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_routine_bulk_0,routine_bulk,0.5839491354317281,8400.0,1,2620.0,0,,delivered,truck_0
MB,103,task_routine_bulk_1,routine_bulk,0.2447230478100463,8800.0,1,2040.0,0,,delivered,truck_0
MB,103,task_routine_bulk_2,routine_bulk,0.2223484090846097,9200.0,1,1160.0,0,,delivered,truck_1
MB,103,task_routine_bulk_3,routine_bulk,0.4595358456488901,9600.0,1,1540.0,0,,delivered,truck_1
MB,103,task_routine_bulk_4,routine_bulk,0.2147018169976778,10000.0,1,660.0,0,,delivered,truck_0
MB,103,task_routine_bulk_5,routine_bulk,0.348426191734089,10400.0,1,460.0,0,,delivered,truck_1
MB,103,task_time_critical_lightweight_0,time_critical_lightweight,0.8219733410759611,5280.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_time_critical_lightweight_1,time_critical_lightweight,0.7214557187625316,5000.0,0,-1.0,1,deadline_exceeded,failed,
MB,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7025638712733031,5680.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_3,time_critical_lightweight,0.7989693713907424,5400.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_4,time_critical_lightweight,0.8378016103185534,5600.0,0,-1.0,1,lifeline_zero,failed,
MB,103,task_time_critical_lightweight_5,time_critical_lightweight,0.7725066840430133,5800.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_routine_bulk_0,routine_bulk,0.5914487685478238,19200.0,1,1540.0,0,,delivered,truck_0
L,100,task_routine_bulk_1,routine_bulk,0.328770105116882,20400.0,1,840.0,0,,delivered,truck_2
L,100,task_routine_bulk_2,routine_bulk,0.5197299581475797,21600.0,1,2400.0,0,,delivered,truck_1
L,100,task_routine_bulk_3,routine_bulk,0.363407140663305,22800.0,1,2400.0,0,,delivered,truck_2
L,100,task_routine_bulk_4,routine_bulk,0.2526593582373026,24000.0,1,1720.0,0,,delivered,truck_2
L,100,task_routine_bulk_5,routine_bulk,0.2329605481754598,25200.0,1,1340.0,0,,delivered,truck_0
L,100,task_routine_bulk_6,routine_bulk,0.4624468108490506,26400.0,1,4900.0,0,,delivered,truck_0
L,100,task_routine_bulk_7,routine_bulk,0.5338128687931456,27600.0,1,1320.0,0,,delivered,truck_1
L,100,task_time_critical_lightweight_0,time_critical_lightweight,0.8572362469902544,12000.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_1,time_critical_lightweight,0.7681740887900437,12600.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_2,time_critical_lightweight,0.8022891552475101,13200.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_3,time_critical_lightweight,0.960215083465178,14760.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_4,time_critical_lightweight,0.8154167223421255,14400.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_5,time_critical_lightweight,0.9867416871112792,15960.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_6,time_critical_lightweight,0.8746488677361269,15600.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_7,time_critical_lightweight,0.7446621799769354,17160.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_8,time_critical_lightweight,0.8689502560984448,16800.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_9,time_critical_lightweight,0.7554846985257647,17400.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_10,time_critical_lightweight,0.7210061967003056,18000.0,0,-1.0,1,lifeline_zero,failed,
L,100,task_time_critical_lightweight_11,time_critical_lightweight,0.732056640977218,18600.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_routine_bulk_0,routine_bulk,0.3483742810841244,19200.0,1,3720.0,0,,delivered,truck_1
L,101,task_routine_bulk_1,routine_bulk,0.3001636801318801,20400.0,1,2760.0,0,,delivered,truck_3
L,101,task_routine_bulk_2,routine_bulk,0.527261765850137,21600.0,1,4440.0,0,,delivered,truck_1
L,101,task_routine_bulk_3,routine_bulk,0.3882350364392335,22800.0,1,3280.0,0,,delivered,truck_0
L,101,task_routine_bulk_4,routine_bulk,0.5361043015918403,24000.0,1,1800.0,0,,delivered,truck_3
L,101,task_routine_bulk_5,routine_bulk,0.4270188357548813,25200.0,1,940.0,0,,delivered,truck_1
L,101,task_routine_bulk_6,routine_bulk,0.5142470258374676,26400.0,1,2200.0,0,,delivered,truck_0
L,101,task_routine_bulk_7,routine_bulk,0.3879694663765369,27600.0,1,2400.0,0,,delivered,truck_2
L,101,task_time_critical_lightweight_0,time_critical_lightweight,0.9705680205086198,12000.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_1,time_critical_lightweight,0.8194413770540239,13560.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_2,time_critical_lightweight,0.7276929418213184,13200.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_3,time_critical_lightweight,0.7687067091449796,14760.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_4,time_critical_lightweight,0.7273830460494194,14400.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_5,time_critical_lightweight,0.909737917292143,15960.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_6,time_critical_lightweight,0.8705161474912566,15600.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_7,time_critical_lightweight,0.989879628037199,16200.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_8,time_critical_lightweight,0.9323581933558626,16800.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_9,time_critical_lightweight,0.8933819856045042,17400.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_10,time_critical_lightweight,0.7142148384795817,18000.0,0,-1.0,1,lifeline_zero,failed,
L,101,task_time_critical_lightweight_11,time_critical_lightweight,0.7467335094406772,18600.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_routine_bulk_0,routine_bulk,0.4291837918236352,19200.0,1,2340.0,0,,delivered,truck_3
L,102,task_routine_bulk_1,routine_bulk,0.2454711203278465,20400.0,1,3180.0,0,,delivered,truck_2
L,102,task_routine_bulk_2,routine_bulk,0.3976042905163367,21600.0,1,1520.0,0,,delivered,truck_1
L,102,task_routine_bulk_3,routine_bulk,0.5908338171405074,22800.0,1,1480.0,0,,delivered,truck_0
L,102,task_routine_bulk_4,routine_bulk,0.3182605854911148,24000.0,1,3880.0,0,,delivered,truck_1
L,102,task_routine_bulk_5,routine_bulk,0.316760490021223,25200.0,1,5920.0,0,,delivered,truck_0
L,102,task_routine_bulk_6,routine_bulk,0.3055363954601743,26400.0,1,860.0,0,,delivered,truck_2
L,102,task_routine_bulk_7,routine_bulk,0.4415615487702636,27600.0,1,2260.0,0,,delivered,truck_0
L,102,task_time_critical_lightweight_0,time_critical_lightweight,0.7521593742751356,12000.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_1,time_critical_lightweight,0.7491376000307091,13560.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_2,time_critical_lightweight,0.8083948419266088,13200.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_3,time_critical_lightweight,0.9739813351739603,13800.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_4,time_critical_lightweight,0.8902529497747588,14400.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_5,time_critical_lightweight,0.7848123351493127,15000.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_6,time_critical_lightweight,0.9948248799678304,16560.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_7,time_critical_lightweight,0.8273965865006737,17160.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_8,time_critical_lightweight,0.800241625655852,16800.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_9,time_critical_lightweight,0.8133445160620112,17400.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_10,time_critical_lightweight,0.7234608659077144,18000.0,0,-1.0,1,lifeline_zero,failed,
L,102,task_time_critical_lightweight_11,time_critical_lightweight,0.8885468420710438,18600.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_routine_bulk_0,routine_bulk,0.3483742810841244,19200.0,1,3720.0,0,,delivered,truck_1
LB,101,task_routine_bulk_1,routine_bulk,0.3001636801318801,20400.0,1,2860.0,0,,delivered,truck_3
LB,101,task_routine_bulk_2,routine_bulk,0.527261765850137,21600.0,1,5100.0,0,,delivered,truck_3
LB,101,task_routine_bulk_3,routine_bulk,0.3882350364392335,22800.0,1,4060.0,0,,delivered,truck_0
LB,101,task_routine_bulk_4,routine_bulk,0.5361043015918403,24000.0,1,1800.0,0,,delivered,truck_3
LB,101,task_routine_bulk_5,routine_bulk,0.4270188357548813,25200.0,1,940.0,0,,delivered,truck_1
LB,101,task_routine_bulk_6,routine_bulk,0.5142470258374676,26400.0,1,2200.0,0,,delivered,truck_0
LB,101,task_routine_bulk_7,routine_bulk,0.3879694663765369,27600.0,1,3240.0,0,,delivered,truck_2
LB,101,task_time_critical_lightweight_0,time_critical_lightweight,0.9705680205086198,12000.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_1,time_critical_lightweight,0.8194413770540239,13560.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_2,time_critical_lightweight,0.7276929418213184,13200.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_3,time_critical_lightweight,0.7687067091449796,14760.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_4,time_critical_lightweight,0.7273830460494194,14400.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_5,time_critical_lightweight,0.909737917292143,15960.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_6,time_critical_lightweight,0.8705161474912566,15600.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_7,time_critical_lightweight,0.989879628037199,16200.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_8,time_critical_lightweight,0.9323581933558626,16800.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_9,time_critical_lightweight,0.8933819856045042,17400.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_10,time_critical_lightweight,0.7142148384795817,18000.0,0,-1.0,1,lifeline_zero,failed,
LB,101,task_time_critical_lightweight_11,time_critical_lightweight,0.7467335094406772,18600.0,0,-1.0,1,lifeline_zero,failed,
M,104,task_routine_bulk_0,routine_bulk,0.530130036907325,8400.0,1,560.0,0,,delivered,truck_0
M,104,task_routine_bulk_1,routine_bulk,0.3935722606210771,8800.0,1,340.0,0,,delivered,truck_0
M,104,task_routine_bulk_2,routine_bulk,0.3061396422192283,9200.0,1,820.0,0,,delivered,truck_0
M,104,task_routine_bulk_3,routine_bulk,0.424062923862253,9600.0,1,1360.0,0,,delivered,truck_1
M,104,task_routine_bulk_4,routine_bulk,0.3063585274833986,10000.0,1,2020.0,0,,delivered,truck_1
M,104,task_routine_bulk_5,routine_bulk,0.2241836152337888,10400.0,1,720.0,0,,delivered,truck_1
M,104,task_time_critical_lightweight_0,time_critical_lightweight,0.8501859988348692,4800.0,0,-1.0,1,deadline_exceeded,failed,
M,104,task_time_critical_lightweight_1,time_critical_lightweight,0.8386082765664647,5480.0,0,-1.0,1,deadline_exceeded,failed,
M,104,task_time_critical_lightweight_2,time_critical_lightweight,0.947395375234659,5200.0,0,-1.0,1,deadline_exceeded,failed,
M,104,task_time_critical_lightweight_3,time_critical_lightweight,0.929528051580987,5400.0,0,-1.0,1,deadline_exceeded,failed,
M,104,task_time_critical_lightweight_4,time_critical_lightweight,0.7890706019674137,5600.0,0,-1.0,1,deadline_exceeded,failed,
M,104,task_time_critical_lightweight_5,time_critical_lightweight,0.8377869821717944,6280.0,0,-1.0,1,deadline_exceeded,failed,
MB,104,task_routine_bulk_0,routine_bulk,0.530130036907325,8400.0,1,560.0,0,,delivered,truck_0
MB,104,task_routine_bulk_1,routine_bulk,0.3935722606210771,8800.0,1,340.0,0,,delivered,truck_0
MB,104,task_routine_bulk_2,routine_bulk,0.3061396422192283,9200.0,1,1220.0,0,,delivered,truck_0
MB,104,task_routine_bulk_3,routine_bulk,0.424062923862253,9600.0,1,1360.0,0,,delivered,truck_1
MB,104,task_routine_bulk_4,routine_bulk,0.3063585274833986,10000.0,1,2120.0,0,,delivered,truck_1
MB,104,task_routine_bulk_5,routine_bulk,0.2241836152337888,10400.0,1,720.0,0,,delivered,truck_1
MB,104,task_time_critical_lightweight_0,time_critical_lightweight,0.8501859988348692,4800.0,0,-1.0,1,lifeline_zero,failed,
MB,104,task_time_critical_lightweight_1,time_critical_lightweight,0.8386082765664647,5480.0,0,-1.0,1,lifeline_zero,failed,
MB,104,task_time_critical_lightweight_2,time_critical_lightweight,0.947395375234659,5200.0,0,-1.0,1,lifeline_zero,failed,
MB,104,task_time_critical_lightweight_3,time_critical_lightweight,0.929528051580987,5400.0,0,-1.0,1,lifeline_zero,failed,
MB,104,task_time_critical_lightweight_4,time_critical_lightweight,0.7890706019674137,5600.0,0,-1.0,1,lifeline_zero,failed,
MB,104,task_time_critical_lightweight_5,time_critical_lightweight,0.8377869821717944,6280.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_routine_bulk_0,routine_bulk,0.348426191734089,19200.0,1,3640.0,0,,delivered,truck_1
L,103,task_routine_bulk_1,routine_bulk,0.3626311214346148,20400.0,1,1640.0,0,,delivered,truck_2
L,103,task_routine_bulk_2,routine_bulk,0.2286076250167087,21600.0,1,1820.0,0,,delivered,truck_0
L,103,task_routine_bulk_3,routine_bulk,0.2034184950310708,22800.0,1,960.0,0,,delivered,truck_1
L,103,task_routine_bulk_4,routine_bulk,0.3319591618543233,24000.0,1,420.0,0,,delivered,truck_2
L,103,task_routine_bulk_5,routine_bulk,0.3837354804247379,25200.0,1,5860.0,0,,delivered,truck_0
L,103,task_routine_bulk_6,routine_bulk,0.2966755787240177,26400.0,1,840.0,0,,delivered,truck_2
L,103,task_routine_bulk_7,routine_bulk,0.4682278001689124,27600.0,1,1080.0,0,,delivered,truck_0
L,103,task_time_critical_lightweight_0,time_critical_lightweight,0.9539752519885072,12000.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_1,time_critical_lightweight,0.9948079019505544,12600.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_2,time_critical_lightweight,0.7377905179466021,13200.0,0,-1.0,1,lifeline_zero,failed,
L,103,task_time_critical_lightweight_3,time_critical_lightweight,0.993001467773675,13800.0,0,-1.0,1,lifeline_zero,failed,
