scenario,method,seed,completed_tasks,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,weighted_service_score,runtime_seconds
M,ER-HLNS-PR,104,12,1.0,1.0,1.0,774.176733391073,0.943466077860463,3.19993499999998
M,ER-HLNS-PR,105,12,1.0,1.0,1.0,871.076346592694,0.944083668792865,4.07051259999992
M,ER-HLNS-PR,106,12,1.0,1.0,1.0,913.417968098217,0.918560415633663,3.93207949999999
M,ER-HLNS-PR,107,12,1.0,1.0,1.0,873.68573728918,0.933996655359619,2.81093680000004
M,ER-HLNS-PR,108,12,1.0,1.0,1.0,988.244302706319,0.948559712601903,4.22482170000001
M,ER-HLNS-PR,109,12,1.0,1.0,1.0,1055.17713947684,0.939404361181809,4.21182700000008
M,Greedy,100,12,1.0,1.0,1.0,1113.53422925371,0.934762991919934,4.7117404
M,Greedy,101,12,1.0,1.0,1.0,525.465943999992,0.95495210030308,1.10481540000001
M,Greedy,102,12,1.0,1.0,1.0,701.077830918283,0.944085129508584,1.09778570000003
M,Greedy,103,12,1.0,1.0,1.0,855.361455199298,0.945377550549366,2.17374670000004
M,Greedy,104,12,1.0,1.0,1.0,748.187774428589,0.944315006831885,1.66563130000009
M,Greedy,105,12,1.0,1.0,1.0,748.166119672233,0.946860041176302,1.41443700000013
M,Greedy,106,12,1.0,1.0,1.0,838.060770857828,0.90352359714193,6.05354639999996
M,Greedy,107,12,1.0,1.0,1.0,805.22395447734,0.933906065895857,1.4099984999998
M,Greedy,108,12,1.0,1.0,1.0,948.947224325116,0.946000068894383,1.56295569999975
M,Greedy,109,12,1.0,1.0,1.0,1055.98554543727,0.932565013305574,5.99965640000028
M,PG,100,12,1.0,1.0,1.0,1443.17296750969,0.91632806018375,1.9321665
M,PG,101,12,1.0,1.0,1.0,830.287673322792,0.934451831603624,1.7527685
M,PG,102,12,1.0,1.0,1.0,1503.97841929888,0.857585346068639,2.30620699999997
M,PG,103,11,0.916666666666667,1.0,0.833333333333333,3077.67231890915,0.843439840310097,4.13484170000004
M,PG,104,12,1.0,1.0,1.0,925.163097671887,0.916729850900748,2.04719820000014
M,PG,105,12,1.0,1.0,1.0,1407.16201819263,0.925798482375651,2.25210820000007
M,PG,106,10,0.833333333333333,1.0,0.666666666666667,4669.91977556743,0.703719870911267,6.13501410000026
M,PG,107,12,1.0,1.0,1.0,1269.35648623258,0.912666317633902,1.96627290000015
M,PG,108,12,1.0,1.0,1.0,1458.01223085915,0.905782721751242,2.29621120000002
M,PG,109,12,1.0,1.0,1.0,1481.92013485289,0.91898155190092,2.34045920000017
MB,C-ALNS,100,9,0.75,1.0,0.5,5899.38513637487,0.418753088601504,5.5700654
MB,C-ALNS,101,10,0.833333333333333,1.0,0.666666666666667,3562.6515954087,0.621060365338634,6.47443200000001
MB,C-ALNS,102,11,0.916666666666667,1.0,0.833333333333333,2165.77468362437,0.756643474752346,5.56756140000005
MB,C-ALNS,103,11,0.916666666666667,1.0,0.833333333333333,3545.85432564495,0.534109875602637,6.4626409
MB,C-ALNS,104,9,0.75,1.0,0.5,4999.60809946635,0.497907972048346,6.19152830000007
MB,C-ALNS,105,11,0.916666666666667,1.0,0.833333333333333,2466.62673204424,0.751117571060774,5.4829557999999
MB,C-ALNS,106,11,0.916666666666667,1.0,0.833333333333333,2738.27331696163,0.656870157563319,5.13310890000002
MB,C-ALNS,107,11,0.916666666666667,1.0,0.833333333333333,2774.04319586943,0.697243964492027,4.72732399999995
MB,C-ALNS,108,10,0.833333333333333,1.0,0.666666666666667,3818.68581448817,0.614776732011082,5.7574010999997
MB,C-ALNS,109,10,0.833333333333333,1.0,0.666666666666667,4171.43811976077,0.525083976500062,5.67927269999973
MB,DR-ALNS,100,9,0.75,1.0,0.5,5508.23415402086,0.456896521647303,5.3590368
MB,DR-ALNS,101,10,0.833333333333333,1.0,0.666666666666667,3641.98559919385,0.580629399927743,6.0205028
MB,DR-ALNS,102,12,1.0,1.0,1.0,1504.69536577559,0.756598009056707,4.58048669999994
MB,DR-ALNS,103,11,0.916666666666667,1.0,0.833333333333333,3479.13735630559,0.555550637088228,6.58282359999998
MB,DR-ALNS,104,9,0.75,1.0,0.5,5080.5600346205,0.496891601553423,5.94077719999996
MB,DR-ALNS,105,11,0.916666666666667,1.0,0.833333333333333,2392.62598085056,0.752734780844712,5.09535510000001
MB,DR-ALNS,106,11,0.916666666666667,1.0,0.833333333333333,2861.39431515432,0.651235548017104,5.54525660000036
MB,DR-ALNS,107,11,0.916666666666667,1.0,0.833333333333333,2948.46618074967,0.601402477343235,6.14571269999988
MB,DR-ALNS,108,10,0.833333333333333,1.0,0.666666666666667,3666.99528992443,0.642976462614214,6.23558599999978
MB,DR-ALNS,109,10,0.833333333333333,1.0,0.666666666666667,4377.83920510312,0.491853560969649,6.03944150000007
