scenario,method,seed,completed_tasks,overall_completion_rate,routine_bulk_completion_rate,time_critical_lightweight_completion_rate,pwct_seconds,weighted_service_score,runtime_seconds
RB,DR-ALNS,107,19,0.95,0.875,1.0,2911.0447761194,0.840644776119402,284.8122562
RB,DR-ALNS,108,20,1.0,1.0,1.0,1380.74626865672,0.882231865671641,275.9828018
RB,DR-ALNS,109,20,1.0,1.0,1.0,1551.94029850746,0.889111791044775,247.7159518
RB,ER-HLNS,100,20,1.0,1.0,1.0,1948.88059701493,0.879601305970148,94.4508913
RB,ER-HLNS,101,20,1.0,1.0,1.0,1746.79104477612,0.882029514925372,96.3402673
RB,ER-HLNS,102,20,1.0,1.0,1.0,1610.89552238806,0.883041268656716,82.0854231
RB,ER-HLNS,103,20,1.0,1.0,1.0,1588.4328358209,0.858152126865671,76.1558626
RB,ER-HLNS,104,18,0.9,0.875,0.916666666666667,5843.65671641791,0.796435261194029,429.6371712
RB,ER-HLNS,105,20,1.0,1.0,1.0,1542.83582089552,0.883041268656716,81.9487573
RB,ER-HLNS,106,20,1.0,1.0,1.0,1704.02985074627,0.883041268656716,128.3714779
RB,ER-HLNS,107,18,0.9,0.75,1.0,4267.61194029851,0.823339776119402,334.3740518
RB,ER-HLNS,108,20,1.0,1.0,1.0,1656.64179104478,0.883648320895521,141.4355682
RB,ER-HLNS,109,20,1.0,1.0,1.0,1766.41791044776,0.882231865671641,124.5446202
RB,ER-HLNS-PR,100,20,1.0,1.0,1.0,1819.92537313433,0.879601305970148,105.9806831
RB,ER-HLNS-PR,101,20,1.0,1.0,1.0,1751.5671641791,0.882029514925372,85.5206116
RB,ER-HLNS-PR,102,20,1.0,1.0,1.0,1507.01492537313,0.886278880597014,73.720663
RB,ER-HLNS-PR,103,19,0.95,1.0,0.916666666666667,4658.50746268657,0.803825074626865,425.0636077
RB,ER-HLNS-PR,104,19,0.95,0.875,1.0,3386.34328358209,0.769214962686566,444.3855413
