family,scenario,method,seed,episode_occurrence_index,terminal_battery_rescue,forced_recovery,hard_failure_any,hard_failure_component_sum_not_unique,runtime_crash_count,uav_drop_count,crash_count,physical_v2_uav_drop_count,physical_v2_forced_landing_count,physical_v2_uav_drop_runtime_count,UAV_DROP,FORCED_LANDING,MISSION_ABORT,ENERGY_EXHAUSTION,RECOVERY_FAILURE,uav_airborne_safety_abort_count,hard_constraint_violation_count,metric_sanity_violation_count,passenger_invariant_violation_count,unknown_passenger_violation_count
main,L,C-ALNS,100,1,3.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,L,DR-ALNS,100,1,3.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,L,Greedy,100,1,1.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,L,PG,100,1,2.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,LB,C-ALNS,100,1,2.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,LB,DR-ALNS,100,1,2.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,LB,Greedy,100,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,LB,PG,100,1,1.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,M,C-ALNS,100,1,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
main,M,DR-ALNS,100,1,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
